Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Tryptophan metabolism	1/48	0.535968133783962	0.856566763645074	0	0	1.32211150013466	0.824575256088891	GCDH
Type II diabetes mellitus	1/48	0.535968133783962	0.856566763645074	0	0	1.32211150013466	0.824575256088891	IRS2
Cholesterol metabolism	1/49	0.543340713927278	0.856566763645074	0	0	1.29450158227848	0.789670159458703	LRPAP1
Notch signaling pathway	1/49	0.543340713927278	0.856566763645074	0	0	1.29450158227848	0.789670159458703	CREBBP
Human T-cell leukemia virus 1 infection	4/245	0.545894880457741	0.856566763645074	0	0	1.03095462198242	0.624066574084531	CREBBP;CCND3;CCNE1;AKT2
Cysteine and methionine metabolism	1/50	0.550596521005629	0.856976843178116	0	0	1.268018599845	0.756693909656777	MPST
Glycosaminoglycan biosynthesis	1/53	0.571681597834106	0.88267638705586	0	0	1.19468111002921	0.668033527538353	ST3GAL2
Huntington disease	3/192	0.589361033217229	0.893969072675984	0	0	0.985441310282075	0.521018906589268	CREBBP;COX6B2;TGM2
Platelet activation	2/125	0.591869370645623	0.893969072675984	0	0	1.00967866821525	0.529545490736611	ARHGEF12;AKT2
Ovarian steroidogenesis	1/57	0.5982688057713	0.893969072675984	0	0	1.10912070524412	0.569772074027503	HSD3B1
Pyrimidine metabolism	1/58	0.604654424081211	0.893969072675984	0	0	1.08960692871419	0.548179267125022	CDA
Osteoclast differentiation	2/128	0.60479898462115	0.893969072675984	0	0	0.985487528344671	0.495561404071296	AKT2;ACP5
Chemokine signaling pathway	3/197	0.606787298033958	0.893969072675984	0	0	0.959797097642655	0.479492520511844	BAD;AKT2;FOXO3
Purine metabolism	2/136	0.637756437547606	0.922065449732257	0	0	0.926273394930111	0.416636687313542	PDE3B;AMPD3
Long-term potentiation	1/67	0.657758224697752	0.922065449732257	0	0	0.940592635212888	0.394031049029574	CREBBP
Kaposi sarcoma-associated herpesvirus infection	3/216	0.668430941306874	0.922065449732257	0	0	0.873329146855656	0.351796361038241	GABARAPL2;CREBBP;AKT2
Cortisol synthesis and secretion	1/69	0.668557423981952	0.922065449732257	0	0	0.912835070737156	0.367537510603931	HSD3B1
Regulation of actin cytoskeleton	3/217	0.671471822527869	0.922065449732257	0	0	0.869203524019287	0.346189183495349	ARHGEF12;RRAS;SLC9A1
Adherens junction	1/72	0.684122586825106	0.922065449732257	0	0	0.874130861116063	0.33183594639776	CREBBP
B cell receptor signaling pathway	1/72	0.684122586825106	0.922065449732257	0	0	0.874130861116063	0.33183594639776	AKT2
Gastric acid secretion	1/74	0.694092353516387	0.922065449732257	0	0	0.850095370209815	0.310412539589396	SLC9A1
Glioma	1/75	0.698958974059954	0.922065449732257	0	0	0.838564830653438	0.300343088984403	AKT2
Pertussis	1/76	0.703748412535301	0.922065449732257	0	0	0.827341772151899	0.290673588093082	TIRAP
Synaptic vesicle cycle	1/77	0.708461889088664	0.922065449732257	0	0	0.816414057295137	0.281384462599682	RAB3A
Salivary secretion	1/78	0.713100604715791	0.922065449732257	0	0	0.805770179187901	0.272457301011054	SLC9A1
Hippo signaling pathway	2/159	0.720493510070836	0.922065449732257	0	0	0.789647153978364	0.258861238599046	CCND3;LLGL2
Wnt signaling pathway	2/160	0.723702126465347	0.922065449732257	0	0	0.784609202330721	0.253723313698002	CCND3;CREBBP
Human immunodeficiency virus 1 infection	3/238	0.730641638085197	0.922065449732257	0	0	0.790676243393414	0.248139644880163	MAP2K3;BAD;AKT2
Protein processing in endoplasmic reticulum	2/163	0.733142178012083	0.922065449732257	0	0	0.76987084688948	0.238979942901398	EIF2AK1;UBE2J1
Rheumatoid arthritis	1/84	0.739427829519514	0.922065449732257	0	0	0.747292969345737	0.225591751797758	ACP5
PPAR signaling pathway	1/85	0.743575294480123	0.922065449732257	0	0	0.738358951175407	0.218764864883155	HMGCS2
Gap junction	1/86	0.747656949698783	0.922065449732257	0	0	0.729635145197319	0.212185947810742	TUBB3
Hypertrophic cardiomyopathy (HCM)	1/86	0.747656949698783	0.922065449732257	0	0	0.729635145197319	0.212185947810742	TPM4
Insulin secretion	1/86	0.747656949698783	0.922065449732257	0	0	0.729635145197319	0.212185947810742	RAB3A
Fc gamma R-mediated phagocytosis	1/87	0.751673836105928	0.922065449732257	0	0	0.721114218428025	0.205844056690894	AKT2
Arachidonic acid metabolism	1/89	0.75951738478226	0.922065449732257	0	0	0.70465333716916	0.193830450280597	CYP4F13
Dilated cardiomyopathy (DCM)	1/90	0.763346047883088	0.922065449732257	0	0	0.696700327122742	0.188139613986907	TPM4
GnRH signaling pathway	1/90	0.763346047883088	0.922065449732257	0	0	0.696700327122742	0.188139613986907	MAP2K3
IL-17 signaling pathway	1/91	0.767113944572101	0.922065449732257	0	0	0.688924050632911	0.182647495999539	USP25
Retinol metabolism	1/91	0.767113944572101	0.922065449732257	0	0	0.688924050632911	0.182647495999539	ALDH1A1
TGF-beta signaling pathway	1/91	0.767113944572101	0.922065449732257	0	0	0.688924050632911	0.182647495999539	CREBBP
Morphine addiction	1/92	0.770822036222	0.922065449732257	0	0	0.681318681318681	0.177345722562087	PDE3B
Hematopoietic cell lineage	1/94	0.778062574805596	0.922065449732257	0	0	0.666598611678236	0.167281806845601	TFRC
Axon guidance	2/180	0.781591774585953	0.922065449732257	0	0	0.69573747101837	0.17144550757744	ARHGEF12;RRAS
Phagosome	2/180	0.781591774585953	0.922065449732257	0	0	0.69573747101837	0.17144550757744	TFRC;TUBB3
Transcriptional misregulation in cancer	2/183	0.789296129929652	0.922065449732257	0	0	0.684100675260896	0.161867595672689	CDKN1B;NCOR1
Melanogenesis	1/100	0.798444267363207	0.922065449732257	0	0	0.626006904487917	0.140907963259693	CREBBP
T cell receptor signaling pathway	1/101	0.801654954000501	0.922065449732257	0	0	0.619715189873418	0.137004772312027	AKT2
Aldosterone synthesis and secretion	1/102	0.804814654176217	0.922065449732257	0	0	0.613548063667126	0.133227833664695	HSD3B1
NF-kappa B signaling pathway	1/102	0.804814654176217	0.922065449732257	0	0	0.613548063667126	0.133227833664695	TIRAP
Chagas disease (American trypanosomiasis)	1/103	0.807924174974582	0.922065449732257	0	0	0.607501861504095	0.129572290673312	AKT2
Pancreatic secretion	1/105	0.813995843974974	0.922065449732257	0	0	0.595758276533593	0.12260706443609	SLC9A1
Amoebiasis	1/106	0.81695954354516	0.922065449732257	0	0	0.59005424954792	0.11928873255317	SERPINB9B
Cholinergic synapse	1/113	0.836428241249034	0.924444662088357	0	0	0.552978074141049	0.098769928078125	AKT2
NOD-like receptor signaling pathway	2/205	0.838819747247161	0.924444662088357	0	0	0.609273594495269	0.107085584539739	GABARAPL2;NEK7
Glutamatergic synapse	1/114	0.83903555824102	0.924444662088357	0	0	0.548056457936597	0.0961851095537906	GLS
Leukocyte transendothelial migration	1/115	0.841601443412585	0.924444662088357	0	0	0.543221185876083	0.0936777992234738	F11R
Oocyte meiosis	1/116	0.84412655295663	0.924444662088357	0	0	0.538470005503577	0.0912452778072628	CCNE1
MAPK signaling pathway	3/294	0.847806762640618	0.924444662088357	0	0	0.636680018385974	0.1051174903688	MAP2K3;RRAS;AKT2
Inflammatory mediator regulation of TRP channels	1/127	0.869389225115021	0.93736147745753	0	0	0.491184448462929	0.0687483140125309	MAP2K3
Relaxin signaling pathway	1/131	0.877526068106607	0.93736147745753	0	0	0.475973709834469	0.0621853068417777	AKT2
Estrogen signaling pathway	1/134	0.883295271486665	0.93736147745753	0	0	0.465166079756353	0.0577251281838401	AKT2
Oxidative phosphorylation	1/134	0.883295271486665	0.93736147745753	0	0	0.465166079756353	0.0577251281838401	COX6B2
Dopaminergic synapse	1/135	0.885157489311344	0.93736147745753	0	0	0.461671075004723	0.0563191139911888	AKT2
Signaling pathways regulating pluripotency of stem cells	1/137	0.888793525257658	0.93736147745753	0	0	0.454835256887565	0.0536206764819266	AKT2
Vascular smooth muscle contraction	1/140	0.894033516065637	0.937763416307978	0	0	0.444950368818869	0.0498397871661665	ARHGEF12
Breast cancer	1/147	0.905322689332833	0.94447177860128	0	0	0.423465406623895	0.042119493771742	AKT2
Human cytomegalovirus infection	2/255	0.914510758551016	0.94478405305114	0	0	0.48760900934814	0.0435756895556153	ARHGEF12;AKT2
mTOR signaling pathway	1/154	0.91541252808582	0.94478405305114	0	0	0.403946388682055	0.0357009696433977	AKT2
Endocytosis	2/269	0.928790232037673	0.953492099911015	0	0	0.461708578562511	0.0341075048280684	EHD1;TFRC
Cell adhesion molecules (CAMs)	1/170	0.934629963496421	0.954410491824387	0	0	0.36540334057374	0.0247029426564801	F11R
Necroptosis	1/176	0.940655186278391	0.95550763658805	0	0	0.352766726943942	0.0215817885335773	SMPD1
Cytokine-cytokine receptor interaction	2/292	0.947478682055904	0.957399924799944	0	0	0.424586754241927	0.022906812650581	CSF2RB2;CSF2RB
Alcoholism	1/199	0.959047424885272	0.96404246355655	0	0	0.311421173762946	0.0130219994244647	HDAC6
Herpes simplex virus 1 infection	3/433	0.969362726290398	0.969362726290398	0	0	0.427781069471189	0.0133110096928157	BAD;AKT2;EIF2AK1
