From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B4J1E3	A0A0B4J1E3	unreviewed	A0A0B4J1E3_MOUSE	DNA-binding protein SMUBP-2 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase IGHMBP2)	Ighmbp2	Mus musculus (Mouse)	993
A0A0G2JEP4	A0A0G2JEP4	unreviewed	A0A0G2JEP4_MOUSE	Leucine-rich repeat flightless-interacting protein 2	Lrrfip2	Mus musculus (Mouse)	424
A0A0G2JEY9	A0A0G2JEY9	unreviewed	A0A0G2JEY9_MOUSE	Synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	Syde2	Mus musculus (Mouse)	1046
A0A0G2JF42	A0A0G2JF42	unreviewed	A0A0G2JF42_MOUSE	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked nuclear protein)	Atrx	Mus musculus (Mouse)	158
A0A0G2JFK5	A0A0G2JFK5	unreviewed	A0A0G2JFK5_MOUSE	N-lysine methyltransferase KMT5A (EC 2.1.1.361) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (SET domain-containing protein 8)	Kmt5a Setd8	Mus musculus (Mouse)	295
A0A0G2JFZ4	E9Q7M2	reviewed	T22D2_MOUSE	TSC22 domain family protein 2	Tsc22d2	Mus musculus (Mouse)	769
A0A0G2JG85	A0A0G2JG85	unreviewed	A0A0G2JG85_MOUSE	Adaptor-related protein complex 1 associated regulatory protein	Ap1ar	Mus musculus (Mouse)	265
A0A0G2JGZ2	A0A0G2JGZ2	unreviewed	A0A0G2JGZ2_MOUSE	Threonyl-tRNA synthetase 2, mitochondrial (putative)	Tars2	Mus musculus (Mouse)	104
A0A0J9YTV0	A0A0J9YTV0	unreviewed	A0A0J9YTV0_MOUSE	Eukaryotic translation initiation factor 4, gamma 1	Eif4g1	Mus musculus (Mouse)	137
A0A0J9YU76	A0A0J9YU76	unreviewed	A0A0J9YU76_MOUSE	Solute carrier family 4 (anion exchanger), member 1, adaptor protein	Slc4a1ap	Mus musculus (Mouse)	135
A0A0J9YUD5	A0A0J9YUD5	unreviewed	A0A0J9YUD5_MOUSE	Nucleoporin 205	Nup205	Mus musculus (Mouse)	2061
A0A0J9YUG5	A0A0J9YUG5	unreviewed	A0A0J9YUG5_MOUSE	Methyltransferase like 27	Mettl27 Wbscr27	Mus musculus (Mouse)	219
A0A0N4SVC2	A0A0N4SVC2	unreviewed	A0A0N4SVC2_MOUSE	Transformer-2 protein homolog alpha (Transformer-2 protein homolog A)	Tra2a	Mus musculus (Mouse)	280
A0A0N4SVL0	A0A0N4SVL0	unreviewed	A0A0N4SVL0_MOUSE	Eukaryotic translation initiation factor 4 gamma, 3	Eif4g3	Mus musculus (Mouse)	1762
A0A0N4SW73	A0A0N4SW73	unreviewed	A0A0N4SW73_MOUSE	Rab11 family-interacting protein 5 (Rab11-interacting protein Rip11)	Rab11fip5	Mus musculus (Mouse)	1318
A0A0R4IZY0	A0A0R4IZY0	unreviewed	A0A0R4IZY0_MOUSE	Thimet oligopeptidase (EC 3.4.24.15)	Thop1	Mus musculus (Mouse)	687
A0A0R4IZY9	A0A0R4IZY9	unreviewed	A0A0R4IZY9_MOUSE	tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3)	Dus3l	Mus musculus (Mouse)	637
A0A0R4IZZ6	A0A0R4IZZ6	unreviewed	A0A0R4IZZ6_MOUSE	Formin-binding protein 4 (Formin-binding protein 30)	Fnbp4	Mus musculus (Mouse)	1077
A0A0R4J005	A0A0R4J005	unreviewed	A0A0R4J005_MOUSE	LIM and senescent cell antigen-like-containing domain protein	Lims1	Mus musculus (Mouse)	337
A0A0R4J016	A0A0R4J016	unreviewed	A0A0R4J016_MOUSE	tRNA-dihydrouridine synthase (EC 1.3.1.-)	Dus4l	Mus musculus (Mouse)	324
A0A0R4J031	A0A0R4J031	unreviewed	A0A0R4J031_MOUSE	Tripartite motif-containing 35	Trim35	Mus musculus (Mouse)	516
A0A0R4J079	A0A0R4J079	unreviewed	A0A0R4J079_MOUSE	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (Golgi phosphoprotein 1)	Acbd3	Mus musculus (Mouse)	525
A0A0R4J094	Q3TC72	reviewed	FAH2A_MOUSE	Oxaloacetate tautomerase Fahd2a, mitochondrial (EC 5.3.2.2) (Fumarylacetoacetate hydrolase domain-containing protein 2A)	Fahd2a	Mus musculus (Mouse)	313
A0A0R4J0B5	A0A0R4J0B5	unreviewed	A0A0R4J0B5_MOUSE	RUS family member 1	Rusf1	Mus musculus (Mouse)	466
A0A0R4J0E4	A0A0R4J0E4	unreviewed	A0A0R4J0E4_MOUSE	Integrator complex subunit 7	Ints7	Mus musculus (Mouse)	966
A0A0R4J0I4	A0A0R4J0I4	unreviewed	A0A0R4J0I4_MOUSE	Chromosome transmission fidelity protein 18 homolog	Chtf18	Mus musculus (Mouse)	969
A0A0R4J0J6	A0A0R4J0J6	unreviewed	A0A0R4J0J6_MOUSE	THO complex 5	Thoc5	Mus musculus (Mouse)	683
A0A0R4J0K2	A0A0R4J0K2	unreviewed	A0A0R4J0K2_MOUSE	Cytoskeleton-associated protein 5	Ckap5	Mus musculus (Mouse)	2011
A0A0R4J0L5	A0A0R4J0L5	unreviewed	A0A0R4J0L5_MOUSE	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)	Cog6	Mus musculus (Mouse)	657
A0A0R4J0Q2	A0A0R4J0Q2	unreviewed	A0A0R4J0Q2_MOUSE	Inositol polyphosphate-4-phosphatase, type I	Inpp4a	Mus musculus (Mouse)	679
A0A0R4J0Q9	A0A0R4J0Q9	unreviewed	A0A0R4J0Q9_MOUSE	Conserved oligomeric Golgi complex subunit 7 (Component of oligomeric Golgi complex 7)	Cog7	Mus musculus (Mouse)	770
A0A0R4J0T4	A0A0R4J0T4	unreviewed	A0A0R4J0T4_MOUSE	Inhibitor of nuclear factor kappa-B kinase subunit beta (EC 2.7.11.1) (EC 2.7.11.10) (I-kappa-B kinase 2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (Serine/threonine protein kinase IKBKB)	Ikbkb	Mus musculus (Mouse)	738
A0A0R4J0U7	A0A0R4J0U7	unreviewed	A0A0R4J0U7_MOUSE	COMM domain-containing protein 5	Commd5	Mus musculus (Mouse)	224
A0A0R4J140	A0A0R4J140	unreviewed	A0A0R4J140_MOUSE	Clustered mitochondria protein homolog	Cluh	Mus musculus (Mouse)	1353
A0A0R4J174	A0A0R4J174	unreviewed	A0A0R4J174_MOUSE	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	Ecsit	Mus musculus (Mouse)	435
A0A0R4J1F8	A0A0R4J1F8	unreviewed	A0A0R4J1F8_MOUSE	WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1)	Wdhd1	Mus musculus (Mouse)	1081
A0A0R4J1H6	A0A0R4J1H6	unreviewed	A0A0R4J1H6_MOUSE	Golgin A3	Golga3	Mus musculus (Mouse)	1447
A0A0R4J1L2	A0A0R4J1L2	unreviewed	A0A0R4J1L2_MOUSE	Elongation factor 1-delta	Eef1d	Mus musculus (Mouse)	257
A0A0R4J1R7	A0A0R4J1R7	unreviewed	A0A0R4J1R7_MOUSE	4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	Pcbd2	Mus musculus (Mouse)	103
A0A0R4J205	A0A0R4J205	unreviewed	A0A0R4J205_MOUSE	tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2) (tRNA (guanine(9)-N(1))-methyltransferase TRMT10A)	Trmt10a	Mus musculus (Mouse)	328
A0A0R4J206	A0A0R4J206	unreviewed	A0A0R4J206_MOUSE	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)	Mocs2 MOCS2	Mus musculus (Mouse)	189
A0A0R4J249	A0A0R4J249	unreviewed	A0A0R4J249_MOUSE	Neurotrophin receptor-interacting factor 1 (Zinc finger protein 110)	Zfp110	Mus musculus (Mouse)	832
A0A0U1RNF2	A0A0U1RNF2	unreviewed	A0A0U1RNF2_MOUSE	Leucine carboxyl methyltransferase 1 (EC 2.1.1.233)	Lcmt1	Mus musculus (Mouse)	332
A0A0U1RNL9	A0A0U1RNL9	unreviewed	A0A0U1RNL9_MOUSE	Myc-associated zinc finger protein (Pur-1) (Purine-binding transcription factor)	Maz	Mus musculus (Mouse)	493
A0A0U1RNX8	A0A0U1RNX8	unreviewed	A0A0U1RNX8_MOUSE	B cell CLL/lymphoma 7C	Bcl7c	Mus musculus (Mouse)	241
A0A140LHY5	A0A140LHY5	unreviewed	A0A140LHY5_MOUSE	Bromodomain PHD finger transcription factor	Bptf	Mus musculus (Mouse)	329
A0A140LIX7	A0A140LIX7	unreviewed	A0A140LIX7_MOUSE	RAB34, member RAS oncogene family	Rab34	Mus musculus (Mouse)	188
A0A140T8J4	A0A140T8J4	unreviewed	A0A140T8J4_MOUSE	Heme-binding protein 1 (p22HBP)	Hebp1	Mus musculus (Mouse)	190
A0A171EBL2	A0A171EBL2	unreviewed	A0A171EBL2_MOUSE	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (Mysterin) (RING finger protein 213)	Rnf213	Mus musculus (Mouse)	5151
A0A1B0GRV7	A0A1B0GRV7	unreviewed	A0A1B0GRV7_MOUSE	Predicted gene, 17949	Gm17949	Mus musculus (Mouse)	212
A0A1B0GSU0	A0A1B0GSU0	unreviewed	A0A1B0GSU0_MOUSE	Aldehyde dehydrogenase family 16 member A1	Aldh16a1	Mus musculus (Mouse)	802
A0A1B0GSX7	A0A1B0GSX7	unreviewed	A0A1B0GSX7_MOUSE	Nuclear pore complex protein Nup98-Nup96	Nup98	Mus musculus (Mouse)	1816
A0A1D5RM15	A0A1D5RM15	unreviewed	A0A1D5RM15_MOUSE	Zinc finger protein 930	Zfp930	Mus musculus (Mouse)	441
A0A1D5RM65	A0A1D5RM65	unreviewed	A0A1D5RM65_MOUSE	Ras association domain-containing protein 5 (New ras effector 1)	Rassf5	Mus musculus (Mouse)	313
A0A1D5RME6	A0A1D5RME6	unreviewed	A0A1D5RME6_MOUSE	Pleckstrin homology domain containing, family A member 6	Plekha6	Mus musculus (Mouse)	302
A0A1L1SQ41	A0A1L1SQ41	unreviewed	A0A1L1SQ41_MOUSE	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	Ate1	Mus musculus (Mouse)	559
A0A1L1SQR4	A0A1L1SQR4	unreviewed	A0A1L1SQR4_MOUSE	Dedicator of cytokinesis 6	Dock6	Mus musculus (Mouse)	2111
A0A1L1SRX2	A0A1L1SRX2	unreviewed	A0A1L1SRX2_MOUSE	AMP deaminase (EC 3.5.4.6)	Ampd3	Mus musculus (Mouse)	775
A0A1L1SS34	A0A1L1SS34	unreviewed	A0A1L1SS34_MOUSE	Anillin	Anln	Mus musculus (Mouse)	239
A0A1L1SS44	A0A1L1SS44	unreviewed	A0A1L1SS44_MOUSE	Amyloid beta precursor like protein 2 (Amyloid beta (A4) precursor-like protein 2) (Amyloid protein homolog) (Amyloid-like protein 2) (CDEI box-binding protein) (Sperm membrane protein YWK-II)	Aplp2	Mus musculus (Mouse)	624
A0A1L1SSC7	A0A1L1SSC7	unreviewed	A0A1L1SSC7_MOUSE	Tetratricopeptide repeat domain 13	Ttc13	Mus musculus (Mouse)	844
A0A1L1STC0	A0A1L1STC0	unreviewed	A0A1L1STC0_MOUSE	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	Cdc37	Mus musculus (Mouse)	353
A0A1L1STC6	A0A1L1STC6	unreviewed	A0A1L1STC6_MOUSE	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (Myocyte nuclear envelope protein 1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1)	Syne1	Mus musculus (Mouse)	8799
A0A1L1SU40	A0A1L1SU40	unreviewed	A0A1L1SU40_MOUSE	Choline transporter-like protein	Slc44a2	Mus musculus (Mouse)	170
A0A1L1SUI3	A0A1L1SUI3	unreviewed	A0A1L1SUI3_MOUSE	Solute carrier family 37 (glucose-6-phosphate transporter), member 4	Slc37a4	Mus musculus (Mouse)	450
A0A1L1SV00	A0A1L1SV00	unreviewed	A0A1L1SV00_MOUSE	HIG1 domain family, member 1A	Higd1a	Mus musculus (Mouse)	84
A0A1N9PTV1	A0A1N9PTV1	unreviewed	A0A1N9PTV1_MOUSE	Fibrosin	Fbrs	Mus musculus (Mouse)	980
A0A1W2P6N2	A0A1W2P6N2	unreviewed	A0A1W2P6N2_MOUSE	SAP domain-containing ribonucleoprotein (Nuclear protein Hcc-1)	Sarnp	Mus musculus (Mouse)	147
A0A1W2P7G5	A0A1W2P7G5	unreviewed	A0A1W2P7G5_MOUSE	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial	Coq10a	Mus musculus (Mouse)	217
A0A1W2P7J4	A0A1W2P7J4	unreviewed	A0A1W2P7J4_MOUSE	ATPase family, AAA domain containing 2B	Atad2b	Mus musculus (Mouse)	259
A0A1W2P7Q6	A0A1W2P7Q6	unreviewed	A0A1W2P7Q6_MOUSE	Exportin-T (Exportin(tRNA)) (tRNA exportin)	Xpot	Mus musculus (Mouse)	962
A0A1W2P7S8	A0A1W2P7S8	unreviewed	A0A1W2P7S8_MOUSE	Cell division cycle 5-like protein (Cdc5-like protein)	Cdc5lrt1 Cdc5lrt4 Gm32717 Gm32802	Mus musculus (Mouse)	802
A0A1Y7VJP4	A0A1Y7VJP4	unreviewed	A0A1Y7VJP4_MOUSE	WD repeat and coiled-coil-containing protein	Wdcp	Mus musculus (Mouse)	710
A0A1Y7VJR5	A0A1Y7VJR5	unreviewed	A0A1Y7VJR5_MOUSE	Trans-acting transcription factor 4	Sp4	Mus musculus (Mouse)	782
A0A1Y7VMB1	A0A1Y7VMB1	unreviewed	A0A1Y7VMB1_MOUSE	TRM5 tRNA methyltransferase 5	Trmt5	Mus musculus (Mouse)	144
A0A1Y7VME9	A0A1Y7VME9	unreviewed	A0A1Y7VME9_MOUSE	Kinase D-interacting substrate of 220 kDa (Ankyrin repeat-rich membrane-spanning protein)	Kidins220	Mus musculus (Mouse)	1763
A0A286YCV9	A0A286YCV9	unreviewed	A0A286YCV9_MOUSE	Kinesin family member 13B	Kif13b	Mus musculus (Mouse)	1847
A0A286YCX6	A0A286YCX6	unreviewed	A0A286YCX6_MOUSE	Trafficking protein particle complex 8	Trappc8	Mus musculus (Mouse)	1437
A0A286YDU2	A0A286YDU2	unreviewed	A0A286YDU2_MOUSE	Ataxin 2	Atxn2	Mus musculus (Mouse)	402
A0A2I3BPG4	A0A2I3BPG4	unreviewed	A0A2I3BPG4_MOUSE	Biotin--protein ligase (EC 6.3.4.10) (EC 6.3.4.11) (EC 6.3.4.15) (EC 6.3.4.9) (Biotin apo-protein ligase)	Hlcs	Mus musculus (Mouse)	869
A0A2I3BPN6	A0A2I3BPN6	unreviewed	A0A2I3BPN6_MOUSE	TATA-box binding protein associated factor 4	Taf4	Mus musculus (Mouse)	1030
A0A2I3BQS6	A0A2I3BQS6	unreviewed	A0A2I3BQS6_MOUSE	E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (Hyperplastic discs protein homolog)	Ubr5	Mus musculus (Mouse)	2798
A0A2I3BR29	A0A2I3BR29	unreviewed	A0A2I3BR29_MOUSE	Family with sequence similarity 107, member B	Fam107b	Mus musculus (Mouse)	307
A0A2I3BR81	A0A2I3BR81	unreviewed	A0A2I3BR81_MOUSE	5'-nucleotidase domain containing 2	Nt5dc2	Mus musculus (Mouse)	553
A0A2I3BRD1	A0A2I3BRD1	unreviewed	A0A2I3BRD1_MOUSE	TBC1 domain family member 23	Tbc1d23	Mus musculus (Mouse)	699
A0A2I3BRW0	A0A2I3BRW0	unreviewed	A0A2I3BRW0_MOUSE	Signal peptidase complex subunit 1 (Microsomal signal peptidase 12 kDa subunit)	Spcs1	Mus musculus (Mouse)	102
A0A2R8VHP3	A0A2R8VHP3	unreviewed	A0A2R8VHP3_MOUSE	Predicted pseudogene 5478	Gm5478	Mus musculus (Mouse)	535
A0A2R8VI80	A0A2R8VI80	unreviewed	A0A2R8VI80_MOUSE	Transcription factor AP4	Tfap4	Mus musculus (Mouse)	214
A0A2R8VKF0	A0A2R8VKF0	unreviewed	A0A2R8VKF0_MOUSE	Poly(rC) binding protein 2	Pcbp2	Mus musculus (Mouse)	190
A0A338P6K9-2	A0A338P6K9	reviewed	QSER1_MOUSE	Glutamine and serine-rich protein 1	Qser1	Mus musculus (Mouse)	1788
A0A338P6Q3	A0A338P6Q3	unreviewed	A0A338P6Q3_MOUSE	RIKEN cDNA A630089N07 gene	A630089N07Rik	Mus musculus (Mouse)	587
A0A338P703	A0A338P703	unreviewed	A0A338P703_MOUSE	Alpha-2-HS-glycoprotein (Fetuin-A)	Ahsg	Mus musculus (Mouse)	266
A0A3B2WB30	A0A3B2WB30	unreviewed	A0A3B2WB30_MOUSE	rRNA biogenesis protein RRP36	Rrp36	Mus musculus (Mouse)	244
A0A3B2WBC6	A0A3B2WBC6	unreviewed	A0A3B2WBC6_MOUSE	Polymerase (RNA) II (DNA directed) polypeptide M	Polr2m	Mus musculus (Mouse)	84
A0A3B2WBL1	A0A3B2WBL1	unreviewed	A0A3B2WBL1_MOUSE	Ribosomal protein	Rpl10a	Mus musculus (Mouse)	216
A0A494B953	A0A494B953	unreviewed	A0A494B953_MOUSE	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L)	Nedd4l	Mus musculus (Mouse)	956
A0A494BAF6	A0A494BAF6	unreviewed	A0A494BAF6_MOUSE	Damage specific DNA binding protein 1	Ddb1	Mus musculus (Mouse)	420
A0A494BAP2	A0A494BAP2	unreviewed	A0A494BAP2_MOUSE	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Csnk1g3	Mus musculus (Mouse)	448
A0A494BAR6	A0A494BAR6	unreviewed	A0A494BAR6_MOUSE	Testis specific 10 interacting protein	Tsga10ip	Mus musculus (Mouse)	570
A0A494BB10	A0A494BB10	unreviewed	A0A494BB10_MOUSE	Asnsd1 upstream reading frame	Asdurf	Mus musculus (Mouse)	99
A0A494BB75	A0A494BB75	unreviewed	A0A494BB75_MOUSE	WD repeat-containing protein 26	Wdr26	Mus musculus (Mouse)	729
A0A571BDM4	A0A571BDM4	unreviewed	A0A571BDM4_MOUSE	AP2 associated kinase 1	Aak1	Mus musculus (Mouse)	237
A0A571BEE9	A0A571BEE9		A0A571BEE9_MOUSE	deleted			
A0A571BEI2	A0A571BEI2	unreviewed	A0A571BEI2_MOUSE	AP2 associated kinase 1	Aak1	Mus musculus (Mouse)	510
A0A571BF12	A0A571BF12	unreviewed	A0A571BF12_MOUSE	Ligand dependent nuclear receptor corepressor	Lcor	Mus musculus (Mouse)	1696
A0A571BG01	A0A571BG01	unreviewed	A0A571BG01_MOUSE	Death domain containing 1	Dthd1	Mus musculus (Mouse)	905
A0A5F8MP96	A0A5F8MP96	unreviewed	A0A5F8MP96_MOUSE	Septin 4	Septin4	Mus musculus (Mouse)	971
A0A5F8MPI9	A0A5F8MPI9	unreviewed	A0A5F8MPI9_MOUSE	CRK SH3-binding GNRP	Rapgef1	Mus musculus (Mouse)	1087
A0A5F8MPJ3	A0A5F8MPJ3	unreviewed	A0A5F8MPJ3_MOUSE	LIM and senescent cell antigen-like-containing domain protein	Lims1	Mus musculus (Mouse)	362
A0A5F8MPZ2	A0A5F8MPZ2	unreviewed	A0A5F8MPZ2_MOUSE	Kinesin light chain	Klc1	Mus musculus (Mouse)	637
A0A5H1ZRL1	A0A5H1ZRL1	unreviewed	A0A5H1ZRL1_MOUSE	Spire type actin nucleation factor 1	Spire1	Mus musculus (Mouse)	743
A0A668KL51	A0A668KL51	unreviewed	A0A668KL51_MOUSE	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	Idh3b	Mus musculus (Mouse)	380
A0A668KL97	A0A668KL97	unreviewed	A0A668KL97_MOUSE	HECT, UBA and WWE domain containing 1	Huwe1	Mus musculus (Mouse)	226
A0A668KLC0	A0A668KLC0	unreviewed	A0A668KLC0_MOUSE	Nectin-1 (Herpes virus entry mediator C) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1)	Nectin1	Mus musculus (Mouse)	447
A0A6I8MWZ8	A0A6I8MWZ8	unreviewed	A0A6I8MWZ8_MOUSE	Metaxin-1 (Mitochondrial outer membrane import complex protein 1)	Mtx1	Mus musculus (Mouse)	461
A0A6I8MX15	A0A6I8MX15	unreviewed	A0A6I8MX15_MOUSE	TBC1 domain family member 25	Tbc1d25 Oatl1 mCG_116413	Mus musculus (Mouse)	688
A0A7N9VR94	A0A7N9VR94	unreviewed	A0A7N9VR94_MOUSE	AHNAK nucleoprotein 2	Ahnak2	Mus musculus (Mouse)	3501
A0A7N9VSG0	A0A7N9VSG0	reviewed	AFG2B_MOUSE	ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1)	Afg2b Spata5l1	Mus musculus (Mouse)	747
A0A8V5I5B0	A0A8V5I5B0	unreviewed	A0A8V5I5B0_MOUSE	Tetratricopeptide repeat domain 14	Ttc14	Mus musculus (Mouse)	766
A0A8V5KX73	A0A8V5KX73	unreviewed	A0A8V5KX73_MOUSE	Myosin IXb	Myo9b	Mus musculus (Mouse)	1993
A0A8Z1SL50	A0A8Z1SL50	unreviewed	A0A8Z1SL50_MOUSE	N-acylglucosamine 2-epimerase (EC 5.1.3.8) (GlcNAc 2-epimerase) (N-acetyl-D-glucosamine 2-epimerase) (Renin-binding protein)	Renbp	Mus musculus (Mouse)	430
A0A991EKZ2	A0A991EKZ2	unreviewed	A0A991EKZ2_MOUSE	FMR1 autosomal homolog 2	Fxr2	Mus musculus (Mouse)	749
A0A991EQV5	A0A991EQV5	unreviewed	A0A991EQV5_MOUSE	Nuclear protein localization protein 4 homolog	Nploc4	Mus musculus (Mouse)	651
A1L3P4	A1L3P4	reviewed	SL9A6_MOUSE	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 6)	Slc9a6 Nhe6	Mus musculus (Mouse)	702
A2A432	A2A432	reviewed	CUL4B_MOUSE	Cullin-4B (CUL-4B)	Cul4b Kiaa0695	Mus musculus (Mouse)	970
A2A468	A2A468	unreviewed	A2A468_MOUSE	Nuclear receptor coactivator	Ncoa3	Mus musculus (Mouse)	1402
A2A483	A2A483	unreviewed	A2A483_MOUSE	Zinc finger, MYND-type containing 8	Zmynd8	Mus musculus (Mouse)	1179
A2A4P0	A2A4P0	reviewed	DHX8_MOUSE	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8)	Dhx8	Mus musculus (Mouse)	1244
